year,country,pollinator_count,rainfall,temperature,fertilizer_use,crop_yield
2000,India,9333,1125.5,24.4,173.1,4.54
2001,India,9390,1119.4,21.1,151.2,4.32
2002,India,9458,1040.6,22.9,147.9,4.37
2003,India,9594,1056.4,24.2,155.8,4.76
2004,India,9236,1175.8,24.4,159.9,4.4
2005,India,9473,1165.8,22.2,166.7,4.11
2006,India,9561,1170.5,22.5,152.3,4.93
2007,India,9319,1127.5,21.4,167.6,4.45
2008,India,9247,1171.0,25.3,171.0,4.64
2009,India,9061,1126.5,25.5,161.2,4.53
2000,USA,2977,678.1,14.8,122.4,8.69
2001,USA,2810,778.9,15.8,119.7,9.45
2002,USA,2745,745.1,11.4,128.3,9.25
2003,USA,2728,868.2,12.7,113.5,8.98
2004,USA,3047,842.7,13.9,122.5,9.62
2005,USA,3024,693.8,13.0,116.9,8.6
2006,USA,2593,777.6,12.9,117.7,9.17
2007,USA,2651,900.9,13.8,122.1,9.16
2008,USA,3167,616.1,11.9,112.1,8.96
2009,USA,2738,734.6,14.0,119.7,8.68
2000,China,9015,808.0,10.8,306.2,6.96
2001,China,9121,946.9,15.3,292.1,6.96
2002,China,9064,969.9,12.0,297.1,7.57
2003,China,8619,826.4,14.3,293.7,6.93
2004,China,9016,944.5,13.6,304.2,7.72
2005,China,9152,920.8,13.2,290.1,6.9
2006,China,9128,997.4,12.3,306.8,7.49
2007,China,8852,804.7,13.0,292.2,7.37
2008,China,8876,1001.5,12.6,307.5,7.13
2009,China,8803,828.8,10.8,299.4,7.26
2000,Brazil,1681,1243.0,26.1,50.8,5.32
2001,Brazil,1517,1114.3,22.7,48.2,6.12
2002,Brazil,1384,1259.2,21.3,56.2,6.36
2003,Brazil,1394,1217.1,20.1,51.4,6.04
2004,Brazil,1563,1135.3,23.6,50.4,6.16
2005,Brazil,1761,1089.8,20.6,54.1,6.07
2006,Brazil,1724,1269.8,24.2,50.1,6.42
2007,Brazil,1855,1174.8,23.1,43.8,5.93
2008,Brazil,1557,1157.2,19.3,52.9,5.71
2009,Brazil,1096,1162.2,23.6,50.5,5.51
2000,UK,682,798.3,14.1,124.7,8.23
2001,UK,772,738.0,10.8,104.7,8.23
2002,UK,472,1032.9,10.0,107.5,8.31
2003,UK,423,799.1,11.9,127.0,8.31
2004,UK,458,797.6,10.1,125.0,8.03
2005,UK,447,879.8,8.6,123.1,7.61
2006,UK,662,862.7,10.6,128.8,8.27
2007,UK,501,915.9,9.6,110.6,7.99
2008,UK,668,1002.4,9.6,126.9,8.48
2009,UK,508,922.5,9.6,108.3,7.95
2000,Germany,607,771.6,10.9,141.6,9.2
2001,Germany,818,733.7,8.7,136.0,9.29
2002,Germany,530,702.4,8.5,139.3,9.48
2003,Germany,710,904.4,9.5,135.5,9.17
2004,Germany,615,751.0,12.4,138.5,8.39
2005,Germany,547,892.6,10.7,135.0,9.38
2006,Germany,350,799.3,6.4,144.2,8.83
2007,Germany,553,833.0,8.7,123.4,9.18
2008,Germany,302,816.3,10.3,137.0,9.43
2009,Germany,1031,742.5,9.2,132.5,9.6
2000,Australia,855,599.6,20.0,39.6,3.73
2001,Australia,1024,591.3,21.6,45.5,3.29
2002,Australia,855,678.7,21.7,40.4,4.12
2003,Australia,1020,772.3,19.8,47.0,3.62
2004,Australia,702,678.1,18.8,46.3,3.29
2005,Australia,623,539.3,21.2,42.7,3.83
2006,Australia,871,677.6,22.1,51.8,3.67
2007,Australia,1136,694.4,20.3,26.3,3.88
2008,Australia,1317,622.3,17.3,32.8,3.16
2009,Australia,1220,600.4,21.1,36.4,3.62
2000,South Africa,195,542.8,21.6,42.3,2.82
2001,South Africa,372,624.1,20.2,39.4,3.25
2002,South Africa,564,513.3,18.5,27.8,3.52
2003,South Africa,446,584.7,17.4,20.5,2.4
2004,South Africa,592,326.3,19.3,40.7,3.26
2005,South Africa,674,363.7,19.9,33.1,3.0
2006,South Africa,564,384.7,19.8,29.4,2.66
2007,South Africa,365,495.0,21.4,22.1,3.16
2008,South Africa,100,455.3,17.8,28.5,2.89
2009,South Africa,229,444.0,20.3,29.1,2.92
2000,Mexico,690,746.4,20.7,60.2,5.35
2001,Mexico,740,831.6,21.1,74.6,4.88
2002,Mexico,656,706.4,23.8,50.3,4.23
2003,Mexico,628,648.3,19.9,83.5,4.83
2004,Mexico,785,699.7,25.1,78.1,4.29
2005,Mexico,851,630.0,19.4,77.4,5.11
2006,Mexico,718,710.2,21.0,68.1,4.51
2007,Mexico,469,652.6,20.2,70.4,4.26
2008,Mexico,787,693.2,21.9,72.2,4.44
2009,Mexico,872,707.9,22.6,56.6,4.78
2000,Japan,415,1119.8,15.4,118.1,6.8
2001,Japan,465,1251.1,12.5,139.5,6.65
2002,Japan,484,1167.4,14.1,146.1,7.4
2003,Japan,644,1002.3,13.8,144.6,6.86
2004,Japan,658,1207.2,15.7,152.6,7.13
2005,Japan,665,1161.0,14.4,143.2,6.97
2006,Japan,268,1228.9,14.6,147.6,7.03
2007,Japan,609,1050.3,14.5,140.1,7.47
2008,Japan,250,1265.8,16.3,140.8,6.82
2009,Japan,939,1081.7,16.7,142.7,6.9
